Symbol;Type;Volume;Open time;Open price;Purchase value
LEU.US;BUY;1;10.01.2025 15:30;72,42;302,61
IGLN.UK;BUY;1;20.12.2024 09:03;50,68;208,57
GOOGL.US;BUY;1;05.02.2025 15:38;192,14;778,74
INTC.US;BUY;2;03.02.2025 18:01;19,56;161,89
LUNR.US;BUY;1;05.12.2024 17:03;12,88;52,23
ORCL.US;BUY;1;27.01.2025 21:26;155,14;626,5
ANET.US;BUY;1;19.02.2025 18:36;104,84;423,44
GOOGL.US;BUY;1;12.02.2025 15:54;184,59;748,55
UBER.US;BUY;1;05.02.2025 17:54;65,05;263,65
AMD.US;BUY;1;04.02.2025 15:32;116,16;476,05
AMD.US;BUY;1;05.02.2025 15:39;107,09;434,01
VST.US;BUY;1;28.01.2025 15:31;141,88;574,4
